lng,lat,VCD,AOD,AMF
80.5,21.0,2.506,0.129,1.298
80.5,21.25,4.15,0.206,1.214
80.5,21.5,2.609,0.163,1.172
80.5,21.75,4.746,1.063,0.662
80.5,22.0,1.363,0.297,1.374
80.5,22.25,2.459,0.249,0.404
80.5,22.5,2.171,0.606,1.165
80.5,22.75,1.859,0.76,1.17
80.5,23.0,1.097,0.193,1.29
80.5,23.25,0.856,0.11,1.323
80.5,23.5,0.877,0.164,1.312
80.5,23.75,4.611,0.904,1.006
80.5,24.0,6.015,1.093,1.089
80.5,24.25,2.813,0.16,1.266
80.5,24.5,2.597,0.284,1.308
80.5,24.75,1.618,0.357,1.315
80.5,25.0,1.67,0.136,1.307
80.5,25.25,0.466,0.237,1.273
80.5,25.5,2.145,4.06,1.055
80.5,25.75,2.83,0.412,1.517
80.5,26.0,1.762,0.879,1.191
80.5,26.25,7.086,1.787,0.693
80.5,26.5,4.778,0.649,1.208
80.5,26.75,3.557,0.718,1.214
80.5,27.0,4.232,1.201,0.908
80.5,27.25,3.527,1.266,1.083
80.5,27.5,3.086,0.966,1.06
80.5,27.75,13.601,4.071,0.332
80.5,28.0,4.02,0.99,1.218
80.5,28.25,4.335,0.739,1.116
80.5,28.5,1.517,0.949,1.186
80.5,28.75,1.232,0.514,1.339
80.5,29.0,0.907,0.37,1.477
80.5,29.25,0.017,0.39,1.328
80.5,29.5,1.058,0.057,1.307
80.5,29.75,0.527,0.114,2.114
80.5,30.0,0.522,0.067,1.426
80.5,30.25,0.649,0.175,1.723
80.5,30.5,0.116,0.032,2.193
80.5,30.75,0.721,0.032,2.127
80.5,31.0,1.53,0.035,1.924
80.5,31.25,1.351,0.13,1.939
80.5,31.5,0.626,0.046,2.442
80.5,31.75,0.491,0.015,2.166
80.5,32.0,0.153,0.02,2.033
80.5,32.25,0.829,0.022,1.944
80.5,32.5,0.08,0.295,2.055
80.5,32.75,0.194,0.117,3.046
80.5,33.0,0.684,0.348,2.574
80.5,33.25,0.68,0.142,1.87
80.5,33.5,0.316,0.705,1.806
80.5,33.75,0.399,0.099,1.356
80.5,34.0,1.373,0.132,0.43
80.5,34.25,0.346,0.035,0.697
80.5,34.5,1.263,0.519,2.112
80.5,34.75,0.803,0.775,2.184
80.5,35.0,0.699,0.159,1.798
80.5,35.25,0.946,0.051,2.723
80.5,35.5,0.463,0.391,1.79
80.5,35.75,1.209,0.391,1.088
80.5,36.0,0.422,0.232,2.111
80.5,36.25,1.838,0.045,0.48
80.5,36.5,0.48,0.049,1.976
80.5,36.75,0.448,0.031,1.778
80.5,37.0,3.72,0.055,1.169
80.5,37.25,0.114,0.055,2.176
80.5,37.5,0.806,0.068,1.933
80.5,37.75,0.376,0.106,1.887
80.5,38.0,0.154,0.072,1.015
